ลำดับ,common_name_th,scientific_name,family
1,กรรณิกา,Nyctanthes arbor-tristis L.,OLEACEAE
2,กะตังใบ,Leea indica (Burm. f.) Merr.,VITACEAE
3,กระถิน,Leucaena leucocephala (Lam.) de Wit,FABACEAE
4,กระถินณรงค์,Acacia auriculiformis A. Cunn. ex Benth.,FABACEAE
5,กระดังงาจีน,Artabotrys hexapetalus (L. f.) Bhandari,ANNONACEAE
6,กระดังงาสงขลา,Cananga odorata (Lam.) Hook. f. & Thomson var. fruticosa (Craib) J. Sinclair,ANNONACEAE
7,กระท้อน,Sandoricum koetjape (Burm. f.) Merr.,MELIACEAE
8,กระทิง,Calophyllum inophyllum L.,CALOPHYLLACEAE
9,กระทุ่มนา,Mitragyna diversifolia (Wall. ex G. Don) Havil.,RUBIACEAE
10,กระพี้จั่น,Millettia brandisiana Kurz,FABACEAE
11,กันเกรา,Fagraea fragrans Roxb.,GENTIANACEAE
12,กร่าง,Ficus altissima Blume,MORACEAE
13,กล้วย,Musa sp.,MUSACEAE
14,กล้วยพัด,Ravenala madagascariensis Sonn.,STRELITZIACEAE
15,การะเกด,Pandanus tectorius Parkinson ex Du Roi,PANDANACEAE
16,การะเกดหนู,Pandanus pygmaeus Thouars,PANDANACEAE
17,แก้ว,Murraya paniculata (L.) Jack,RUTACEAE
18,แก้วเจ้าจอม,Guaiacum officinale L.,ZYGOPHYLLACEAE
19,กุหลาบมอญ,Rosa ×damascena Herrm.,ROSACEAE
20,โกงกางเขา,Fagraea ceilanica Thunb.,GENTIANACEAE
21,ขนุน,Artocarpus heterophyllus Lam.,MORACEAE
22,โกสน,Codiaeum variegatum (L.) Rumph. ex A. Juss.,EUPHORBIACEAE
23,ข่อย,Streblus asper Lour.,MORACEAE
24,ขี้เหล็ก,Senna siamea (Lam.) H. S. Irwin & Barneby,FABACEAE
25,เข็ม,Ixora spp.,RUBIACEAE
26,คนทีสอ,Vitex trifolia L. subsp. trifolia,LAMIACEAE
27,คนทีเขมา,Vitex negundo L.,LAMIACEAE
28,คัดเค้า,Oxyceros horridus Lour.,RUBIACEAE
29,คริสติน่า,Syzygium australe (J.C.Wendl. ex Link) B.Hyland,MYRTACEAE
30,แคนา,Dolichandrone serrulata (Wall. ex DC.) Seem.,BIGNONIACEAE
31,แคบ้าน,Sesbania grandiflora (L.) Poir.,FABACEAE
32,แคฝรั่ง,Gliricidia sepium (Jacq.) Walp.,FABACEAE
33,แคแสด,Spathodea campanulata P. Beauv.,BIGNONIACEAE
34,จั๋งญี่ปุ่น,Rhapis excelsa (Thunb.) Henry,ARECACEAE
35,จิกนมยาน,Barringtonia macrocarpa Hassk.,LECYTHIDACEAE
36,จิกสวน,Barringtonia racemosa (L.) Spreng.,LECYTHIDACEAE
37,จันทน์ผา,Dracaena cochinchinensis (Lour.) S. C. Chen,ASPARAGACEAE
38,จำปี,Magnolia ×alba (DC.) Figlar,MAGNOLIACEAE
39,จามจุรี,Albizia saman (Jacq.) Merr.,FABACEAE
40,ชงโค,Bauhinia purpurea L.,FABACEAE
41,ชบา,Hibiscus rosa-sinensis L.,MALVACEAE
42,ชมพู่,Syzygium sp.,MYRTACEAE
43,ชะอม,Senegalia pennata (L.) Willd. subsp. insuavis (Lace) I. C. Nielsen,FABACEAE
44,ชมพูพันธุ์ทิพย์,Tabebuia rosea (Bertol.) Bertero ex A. DC.,BIGNONIACEAE
45,ชมพู่ม่าเหมี่ยว,Syzygium malaccense (L.) Merr. & L. M. Perry,MYRTACEAE
46,ชมนาด,Vallaris glabra (L.) Kuntze,APOCYNACEAE
47,ช้องนาง,Thunbergia erecta (Benth.) T. Anderson,ACANTHACEAE
48,ชะมวง,Garcinia cowa Roxb. ex Choisy,CLUSIACEAE
49,ชาฮกเกี้ยน,Ehretia microphylla Lam.,BORAGINACEAE
50,ชำมะเลียง,Lepisanthes fruticosa (Roxb.) Leenh.,SAPINDACEAE
51,เชอร์รี่ไทย,Malpighia glabra L.,MALPIGHIACEAE
52,ต้อยติ่ง,Ruellia tuberosa L.,ACANTHACEAE
53,ตะโกนา,Diospyros rhodocalyx Kurz,EBENACEAE
54,ตะขบฝรั่ง,Muntingia calabura L.,MUNTINGIACEAE
55,ตะขบป่า,Flacourtia indica indica (Burm. f.) Merr.,SALICACEAE
56,ตะเคียนทอง,Hopea odorata Roxb.,DIPTEROCARPACEAE
